RANK	LEMMA	FREQUENCY	RANGE	UDP
712	חבל	112.44	13954	14,784.34
713	הגנה	116.55	12072	14,779.16
714	גיל	114.61	12759	14,774.09
715	הצטרף	111.71	14144	14,726.63
716	ישר	110.98	13788	14,712.58
717	שינוי	112.46	13717	14,706.12
718	דובר	114.53	12523	14,660.95
719	אראה	109.54	14588	14,608.22
720	הרס	111.16	14270	14,601.03
721	שותף	116.14	11556	14,592.88
722	תהי	111.41	13941	14,582.70
723	לכי	115.25	12188	14,577.24
724	אדמה	117.03	11340	14,570.31
725	ענה	109.98	14788	14,536.55
726	אחראי	111.20	13581	14,514.11
727	מסר	111.96	13107	14,511.56
728	קורבן	123.17	8406	14,461.35
729	סכנה	111.46	13566	14,457.71
730	פיטר	127.62	6788	14,451.25
731	הרשה	108.65	14105	14,425.88
732	זרק	110.00	13618	14,398.68
733	שיעור	114.08	11679	14,339.70
734	הדבר	108.74	14108	14,327.52
735	אידיוט	112.21	12174	14,296.85
736	מפני	117.21	10575	14,277.73
737	שליטה	109.77	13108	14,205.55
738	עונה	109.04	16314	14,204.99
739	אשר	116.53	9766	14,180.13
740	כלשהו	109.14	13207	14,169.95
741	אגיד	108.06	13702	14,149.72
742	סגר	107.96	13586	14,147.49
743	גדל	107.92	13562	14,142.58
744	מבט	107.36	13651	14,119.98
745	צפה	107.34	14047	14,115.97
746	הדה	108.86	13101	14,100.96
747	ספינה	127.94	5607	14,081.82
748	ניתוח	121.60	7930	14,079.55
749	אלף	114.09	10277	14,065.09
750	מהיר	107.88	13155	14,017.46
751	רמה	106.85	12815	13,822.44
752	תוצאה	107.69	12297	13,775.40
753	חכם	104.96	13425	13,732.00
754	פרטי	105.91	12665	13,679.34
755	השתנה	105.04	13421	13,674.09
756	מתנה	107.54	12112	13,647.45
757	ירה	109.72	10718	13,616.51
758	הפריע	103.19	13961	13,612.51
759	טיפול	109.18	10912	13,513.34
760	אמריקני	111.85	9337	13,508.98
761	שקר	105.60	12361	13,480.02
762	נושא	104.50	12484	13,473.45
763	מחלקה	108.70	10556	13,439.33
764	עוזב	102.84	13289	13,398.49
765	שמחה	103.53	13077	13,386.36
766	חייל	115.20	7859	13,371.59
767	מייקל	122.72	5053	13,346.81
768	ניהל	102.32	12930	13,344.14
769	חשבתי	100.66	14490	13,331.88
770	עקב	103.58	12874	13,327.30
771	הסתובב	101.50	13377	13,315.83
772	איי	116.05	7139	13,300.25
773	חופשי	102.71	12818	13,274.52
774	כלי	105.06	11784	13,260.23
775	צבא	111.92	8648	13,250.48
776	מועדון	110.87	8972	13,243.52
777	גמר	102.83	12307	13,210.04
778	מחיר	103.97	11950	13,204.80
779	הלוואה	101.61	13220	13,171.05
780	היקח	100.47	13467	13,160.30
781	ביטחון	103.94	11698	13,131.53
782	פעל	101.72	12705	13,110.08
783	הצעה	103.81	11235	13,030.21
784	לקוח	107.94	9252	12,987.38
785	תאונה	105.63	10322	12,944.52
786	מפתח	104.54	10730	12,935.46
787	לישון	100.94	12295	12,904.31
788	הגיוני	99.27	13055	12,859.74
789	מתוך	98.82	12809	12,816.10
790	לחלוטין	99.56	12506	12,798.11
791	אפשרות	98.89	12787	12,787.30
792	ודאי	104.29	9844	12,661.30
793	שחקן	105.82	8651	12,613.95
794	סוכן	106.83	8570	12,590.35
795	תני	98.64	12338	12,578.92
796	רץ	98.53	11630	12,532.24
797	ההוא	99.43	11584	12,522.00
798	שלם	95.55	13358	12,492.23
799	שלב	98.98	11500	12,478.43
800	פתוח	96.43	12827	12,465.94
801	חלון	98.73	11414	12,448.83
802	איתה	96.34	12929	12,412.61
803	עמוק	96.44	12460	12,393.48
804	מרכז	99.29	10929	12,382.10
805	שומר	97.66	11831	12,352.66
806	פ	97.73	11502	12,326.17
807	מעמד	96.65	11840	12,313.84
808	שעשה	93.56	13540	12,283.06
809	חשש	96.14	12296	12,279.36
810	ק	104.35	8246	12,276.94
811	חך	97.29	11749	12,275.74
812	הוכיח	96.36	11951	12,263.14
813	ייתכן	100.63	10136	12,259.43
814	שנוכל	94.29	13339	12,227.21
815	טום	109.65	5829	12,227.18
816	אצטרך	93.98	13342	12,208.73
817	תקופה	95.31	11999	12,165.49
818	כבד	95.19	11980	12,159.65
819	מהירות	97.15	10975	12,149.82
820	שכר	96.45	11152	12,141.03
821	שלט	95.73	12031	12,131.46
822	התחתן	100.46	9118	12,116.66
823	לפה	99.95	9858	12,108.53
824	יכל	95.77	11541	12,093.68
825	מסוים	94.24	12276	12,081.97
826	מרחק	95.23	11900	12,074.07
827	מאושר	96.31	11038	12,061.54
828	החלק	93.62	12666	12,044.81
829	בעצם	95.39	11350	12,038.70
830	בירה	97.97	10361	12,027.57
831	חייך	93.32	12577	12,001.40
832	בר	95.34	11298	11,991.55
833	עוזר	94.92	11674	11,975.83
834	רגל	94.51	11455	11,975.62
835	בנק	102.96	7262	11,942.09
836	העריך	92.03	12680	11,909.84
837	זיהה	93.99	11751	11,892.34
838	טלוויזיה	98.20	9566	11,874.32
839	כביש	97.48	9677	11,833.28
840	האשים	92.69	12138	11,829.36
841	תגיד	91.94	12195	11,809.98
842	אכן	95.50	10630	11,809.60
843	נצטרך	92.24	12496	11,803.66
844	וב	91.07	12447	11,799.22
845	שמונה	93.89	11034	11,794.78
846	פרנק	109.13	4156	11,722.69
847	פרט	91.84	11925	11,704.02
848	נישואין	97.21	9134	11,654.43
849	שדה	95.58	9777	11,653.74
850	אביך	97.35	9280	11,646.50
851	ם	93.39	10857	11,622.68
852	עצור	94.74	9969	11,598.82
853	נפגע	91.83	11568	11,584.18
854	ידיד	93.52	10365	11,524.33
855	קרב	93.78	10203	11,497.44
856	ר	93.64	10008	11,482.76
857	קלט	92.53	10591	11,441.88
858	תסתכל	90.70	11244	11,381.56
859	מכתב	96.48	7863	11,380.72
860	הפחיד	89.45	11866	11,351.92
861	השנה	91.50	10483	11,348.33
862	שכנע	89.20	11976	11,345.38
863	התרחק	90.19	11527	11,334.51
864	רגש	91.16	10886	11,309.03
865	שבר	89.28	11673	11,304.57
866	התקרב	88.58	12090	11,294.13
867	מעניין	88.40	12116	11,288.93
868	גישה	90.20	11205	11,286.08
869	הוגן	89.12	11626	11,273.59
870	ע	91.50	10061	11,245.14
871	הללו	95.52	8080	11,228.36
872	ויתר	88.70	11732	11,217.31
873	קר	89.51	10900	11,167.88
874	שופט	95.67	7427	11,148.90
875	נפטר	88.40	11360	11,146.73
876	צפון	91.14	9785	11,106.91
877	עדיף	86.97	11850	11,039.94
878	אירוע	88.79	10547	11,012.65
879	נו	90.12	10079	11,006.79
880	ברית	92.53	8500	10,977.05
881	הבחר	87.17	11356	10,964.78
882	ארבעה	88.03	10579	10,964.41
883	סמל	95.67	6868	10,940.66
884	רעב	88.17	10755	10,937.00
885	רצון	87.76	10723	10,908.17
886	דן	92.91	7700	10,881.90
887	הכה	87.37	10523	10,853.90
888	אבן	92.09	8200	10,849.61
889	איום	87.46	10677	10,847.59
890	פגש	85.17	11762	10,845.77
891	זבל	89.73	9105	10,803.07
892	הידי	85.94	11046	10,770.86
893	הסתיים	85.13	11512	10,742.17
894	הלאה	84.86	11215	10,654.23
895	נקי	85.41	10838	10,649.69
896	לאט	87.63	9232	10,607.85
897	סקס	91.36	7981	10,597.71
898	לאחרונה	83.74	11795	10,589.28
899	אחרת	82.17	12093	10,543.32
900	תראו	84.65	10783	10,465.97
901	זהיר	83.93	10768	10,458.12
902	זין	92.29	6072	10,437.30
903	התגעגע	84.83	10209	10,406.50
904	תקווה	83.91	10662	10,396.82
905	אבטחה	88.36	8487	10,391.76
906	חטף	85.14	9866	10,383.19
907	ראוי	83.35	10716	10,379.05
908	כעס	83.58	10766	10,363.10
909	נחש	82.60	11043	10,307.23
910	תכנן	81.84	11352	10,289.05
911	גיבור	86.81	8501	10,276.52
912	מולד	92.44	5476	10,266.64
913	פרס	87.24	7932	10,264.43
914	מכירה	84.74	9343	10,253.83
915	אנושי	86.22	9023	10,252.97
916	ג	87.19	8009	10,233.42
917	היסטוריה	82.86	10043	10,210.95
918	שהייה	80.11	11779	10,198.62
919	עבורך	83.65	9891	10,193.19
920	מחשבה	81.10	11067	10,161.03
921	סביב	81.09	10810	10,149.76
922	סגן	90.44	5969	10,149.25
923	פנה	81.00	10759	10,123.09
924	התעורר	81.45	10636	10,092.96
925	הריח	82.25	10142	10,056.82
926	תיקן	81.78	10546	10,053.67
927	עלי	79.63	11528	10,053.16
928	גבול	82.24	9761	10,015.48
929	רשת	83.90	8897	10,008.24
930	נשבע	80.59	10431	9,994.46
931	אמריקה	84.61	8024	9,991.76
932	יגע	80.51	10380	9,978.10
933	מידה	79.88	10674	9,973.10
934	זהב	85.44	7341	9,941.34
935	כיצד	84.64	7981	9,929.39
936	מישהי	80.92	10164	9,872.38
937	נדבר	78.53	11122	9,865.93
938	כניסה	79.45	10563	9,865.11
939	מקור	81.02	9702	9,859.33
940	מעשה	79.71	10331	9,846.09
941	ממשלה	85.59	6709	9,814.41
942	היטב	79.21	10445	9,808.53
943	תיכון	82.49	8548	9,793.41
944	מנה	80.37	9390	9,756.09
945	ביקר	78.52	10469	9,745.40
946	אורח	79.08	10094	9,730.11
947	עשרה	80.04	9185	9,712.40
948	נהרג	80.13	9546	9,700.47
949	חתונה	87.07	5747	9,697.32
950	הדע	77.32	11125	9,695.32
951	ריק	81.76	8480	9,686.53
952	דרש	77.86	10705	9,674.68
953	בפני	77.94	10488	9,658.03
954	מורה	82.34	7817	9,626.10
955	הפה	78.57	9761	9,620.86
956	צחק	78.02	10313	9,614.25
957	מוכר	77.12	10646	9,599.85
958	שטות	77.72	9762	9,593.07
959	תלוי	76.01	11185	9,576.28
960	החבב	79.58	9143	9,560.52
961	הושלם	77.06	10624	9,552.39
962	קבע	76.58	10636	9,546.81
963	רואה	77.06	10948	9,544.91
964	משום	80.34	8509	9,535.93
965	גן	79.64	8807	9,526.59
966	טיסה	82.21	7279	9,523.55
967	אלייך	78.14	9960	9,517.83
968	עשי	76.60	10993	9,511.87
969	מקומי	77.49	9921	9,504.75
970	הפסיד	77.96	9441	9,500.86
971	סגור	76.32	10525	9,483.09
972	חן	78.86	8825	9,469.23
973	שלישי	76.90	9673	9,433.39
974	חירום	79.14	8933	9,419.71
975	גאה	76.32	10180	9,417.79
976	התחה	77.55	9242	9,416.76
977	תנועה	77.32	9386	9,413.11
978	לשעבר	77.90	9252	9,412.99
979	טען	77.16	9634	9,408.22
980	פול	85.39	5004	9,406.32
981	ארון	79.30	8585	9,390.43
982	אגב	75.36	10783	9,367.74
983	נערה	79.83	7758	9,339.59
984	נער	78.44	8471	9,336.01
985	העמיד	75.05	10781	9,329.74
986	בעצמך	73.90	11272	9,306.95
987	השקר	76.21	9914	9,301.44
988	חש	76.70	9585	9,300.91
989	עצמך	73.87	11145	9,294.70
990	הסתדר	74.51	10726	9,283.55
991	תת	75.21	10301	9,279.69
992	תחושה	75.66	9992	9,278.80
993	תקף	77.29	9368	9,266.38
994	סאם	88.78	2995	9,254.07
995	עשית	73.74	11109	9,239.13
996	בסיס	78.21	8149	9,234.94
997	ראשי	75.85	9411	9,231.71
998	דיווח	76.23	9390	9,221.82
999	המשך	74.32	10453	9,211.77
1000	בוודאי	77.55	8438	9,210.24
